Date,Value
2015-08-31,1105300.0
2015-07-31,1065300.0
2015-06-30,1062800.0
2015-05-31,1037500.0
2015-04-30,1002900.0
2015-03-31,995400.0
2015-02-28,988500.0
2015-01-31,976400.0
2014-12-31,955600.0
2014-11-30,936900.0
2014-10-31,922700.0
2014-09-30,908400.0
2014-08-31,893900.0
2014-07-31,874300.0
2014-06-30,849400.0
2014-05-31,829200.0
2014-04-30,819800.0
2014-03-31,814600.0
2014-02-28,809200.0
2014-01-31,804400.0
2013-12-31,801500.0
2013-11-30,797600.0
2013-10-31,788000.0
2013-09-30,776500.0
2013-08-31,769600.0
2013-07-31,764500.0
2013-06-30,758400.0
2013-05-31,754400.0
2013-04-30,753100.0
2013-03-31,746300.0
2013-02-28,728400.0
2013-01-31,709500.0
2012-12-31,698900.0
2012-11-30,691700.0
2012-10-31,678400.0
2012-09-30,660900.0
2012-08-31,647600.0
2012-07-31,639400.0
2012-06-30,635300.0
2012-05-31,634700.0
2012-04-30,635200.0
2012-03-31,630400.0
2012-02-29,623900.0
2012-01-31,623900.0
2011-12-31,630900.0
2011-11-30,638600.0
2011-10-31,643000.0
2011-09-30,644400.0
2011-08-31,643400.0
2011-07-31,643000.0
2011-06-30,643200.0
2011-05-31,639600.0
2011-04-30,633200.0
2011-03-31,633900.0
2011-02-28,642800.0
2011-01-31,648200.0
2010-12-31,646400.0
2010-11-30,644800.0
2010-10-31,643900.0
2010-09-30,640500.0
2010-08-31,634900.0
2010-07-31,631000.0
2010-06-30,630300.0
2010-05-31,633800.0
2010-04-30,636500.0
2010-03-31,642900.0
2010-02-28,652100.0
2010-01-31,656900.0
2009-12-31,650600.0
2009-11-30,640500.0
2009-10-31,631400.0
2009-09-30,629400.0
2009-08-31,632200.0
2009-07-31,635400.0
2009-06-30,641100.0
2009-05-31,656000.0
2009-04-30,675200.0
2009-03-31,696900.0
2009-02-28,720300.0
2009-01-31,734400.0
2008-12-31,738900.0
2008-11-30,747400.0
2008-10-31,760900.0
2008-09-30,767700.0
2008-08-31,768200.0
2008-07-31,773000.0
2008-06-30,780300.0
2008-05-31,782700.0
2008-04-30,784300.0
2008-03-31,792500.0
2008-02-29,797400.0
2008-01-31,803500.0
2007-12-31,811600.0
2007-11-30,815900.0
2007-10-31,824600.0
